county,mult_factor,mult_factor_sd
Aitkin,1.096125775536099,0.05143434089148358
Anoka,1.0809798324017432,0.018517812258914742
Becker,1.1245787730541998,0.06560084846597715
Beltrami,1.125470389656399,0.041191591330200825
Benton,1.1240898347449464,0.048403168273258634
Big Stone,0.9376448398649487,0.05409300850781982
Blue Earth,1.014844739726343,0.0457059454163085
Brown,1.0027350619183402,0.030619319533720622
Carlton,1.0690602156189828,0.041736200183888156
Carver,0.9959745758451827,0.038643148700656646
Cass,1.1002829547609585,0.03858209273872518
Chippewa,1.107325421461613,0.03751242134667138
Chisago,1.1861336834222098,0.0337441362063851
Clay,1.1642421816655557,0.04068624486799695
Clearwater,1.3109757789818224,0.05198264815128921
Cook,0.8962804666387905,0.22052733437088898
Cottonwood,0.9619538413040624,0.05419615369748968
Crow Wing,1.1145078484210316,0.03063142776343921
Dakota,1.0091811172251532,0.04705660126661399
Dodge,1.0030831619498903,0.047968347377461064
Douglas,1.0657205965809826,0.04362385334942656
Faribault,1.1295887998375507,0.05810885126134389
Fillmore,1.0091451716854487,0.04629601607282939
Freeborn,0.9793181653818147,0.04916668794664324
Goodhue,1.020354019034009,0.037243982382752894
Grant,0.9145759500538813,0.09404167807101173
Hennepin,1.0412520979361461,0.032511751797819156
Houston,0.9746388043754214,0.04983728234451466
Hubbard,1.22689529541438,0.025448016305940627
Isanti,1.1393299808326438,0.043597209654544604
Itasca,1.010488512683593,0.047249986673920545
Jackson,1.0559488876291632,0.08281825556256
Kanabec,1.0653612873118512,0.06991744826648359
Kandiyohi,1.120402651177642,0.029787200360124458
Kittson,0.9211060651267986,0.06802807315572651
Koochiching,0.9798089359880281,0.0773538131723112
Lac qui Parle,0.9566138868668056,0.0469225628644715
Lake,1.0657608694903242,0.05806362820081037
Lake of the Woods,0.938246090061528,0.09649562902925694
Le Sueur,1.0361006714322525,0.031464799847311764
Lincoln,1.0075961670520217,0.028638728482571676
Lyon,1.0203291922203828,0.0466821890786128
Mahnomen,1.1256318108306207,0.10380508199224596
Marshall,1.1345862627256713,0.07093871069165743
Martin,0.9633487568428593,0.05655029136657878
McLeod,0.9800548450381767,0.05701491163704122
Meeker,1.0313181126358566,0.035258442665000625
Mille Lacs,1.1761397142337537,0.07237859403923501
Morrison,1.182007662811332,0.020571753231038627
Mower,0.955534839609815,0.058070258786041974
Murray,1.1014629325795793,0.04840925017032562
Nicollet,1.0316190972728996,0.018642362758965275
Nobles,1.1817064537637032,0.07275886669850207
Norman,1.060598937275073,0.05111513987480277
Olmsted,1.0485380200824015,0.026548599807767356
Otter Tail,1.20757303286383,0.045577219545748913
Pennington,1.1152886641741686,0.06851751437802178
Pine,0.9855604573255546,0.05892214408997461
Pipestone,0.9440663965609796,0.07835989260841437
Polk,1.1793135810906823,0.03141866649888585
Pope,1.1019437384516586,0.04545872492776074
Ramsey,1.038148424939508,0.0337796152436509
Red Lake,1.15487084012493,0.1806808797179454
Redwood,1.0083963868565242,0.06449475313482822
Renville,0.968559161076573,0.039508196719359054
Rice,1.0486764482062851,0.04062687715096796
Rock,1.2093505226713028,0.0877697306679212
Roseau,1.2087388971378112,0.1505546228731477
Scott,1.0217435638638697,0.04075271327732831
Sherburne,1.106268883207814,0.058976107277524344
Sibley,0.9280233400874818,0.10335534618880357
St. Louis,1.069593630433452,0.01662986976765647
Stearns,1.1544559826558232,0.028095255549747428
Steele,1.029351794912003,0.03825724251996489
Stevens,1.055428810348962,0.06931878487938135
Swift,1.0252404813578373,0.040670439944617914
Todd,1.3367248062216612,0.029945984432930624
Traverse,0.9569469933294186,0.1360763068133594
Wabasha,1.0462657093119605,0.027881297198041593
Wadena,1.3148184982697109,0.046064314598028
Waseca,0.9007853942140394,0.06844148684322586
Washington,1.1388257322638942,0.06113050191103435
Watonwan,0.6341916069154528,0.117405414780196
Wilkin,1.091673515763924,0.05170997035460888
Winona,0.9534225375125687,0.11860584331977177
Wright,1.1029338115050196,0.0393454326254199
Yellow Medicine,0.9760023728523444,0.04888879149238786